STATE,CONSTITUENCY,NAME,WINNER,PARTY,SYMBOL,GENDER,CRIMINAL CASES,AGE,CATEGORY,EDUCATION,ASSETS,LIABILITIES,GENERAL VOTES,POSTAL VOTES,TOTAL VOTES,OVER TOTAL ELECTORS  IN CONSTITUENCY,OVER TOTAL VOTES POLLED  IN CONSTITUENCY,TOTAL ELECTORS
Telangana,ADILABAD,SOYAM BAPU RAO,1,BJP,Lotus,MALE,52.0,52.0,ST,12th Pass,,,376892,482,377374,25.33068419,35.4682479,1489790
Telangana,ADILABAD,Godam Nagesh,0,TRS,Car,MALE,0.0,54.0,ST,Post Graduate,,,318665,149,318814,21.39992885,29.96436953,1489790
Telangana,ADILABAD,RATHOD RAMESH,0,INC,Hand,MALE,3.0,52.0,ST,12th Pass,,,314057,181,314238,21.09277146,29.53428505,1489790
Uttar Pradesh,AGRA,Satyapal Singh Baghel,1,BJP,Lotus,MALE,5.0,58.0,SC,Doctorate,,,644459,2416,646875,33.38382301,56.46461464,1937690
Uttar Pradesh,AGRA,Manoj Kumar Soni,0,BSP,Elephant,MALE,0.0,47.0,SC,Post Graduate,,,434199,1130,435329,22.46639039,37.99912537,1937690
Uttar Pradesh,AGRA,Preeta Harit,0,INC,Hand,FEMALE,0.0,54.0,SC,Post Graduate,,,44877,272,45149,2.330042473,3.940979148,1937690
Maharashtra,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,BJP,Lotus,MALE,0.0,37.0,GENERAL,Doctorate,,,696961,7699,704660,37.85653348,58.42515898,1861396
Maharashtra,AHMADNAGAR,SANGRAM ARUNKAKA JAGTAP,0,NCP,Clock,MALE,1.0,34.0,GENERAL,Graduate,,,419364,3822,423186,22.73487211,35.08743129,1861396
Maharashtra,AHMADNAGAR,SUDHAKAR LAXMAN AVHAD,0,VBA,Cup & Saucer,MALE,0.0,62.0,GENERAL,Graduate,,,31644,163,31807,1.708771266,2.637199546,1861396
Gujarat,AHMEDABAD EAST,Patel Hasmukhbhai Somabhai,1,BJP,Lotus,MALE,0.0,58.0,GENERAL,Others,,,745810,4024,749834,41.3849704,67.00546171,1811851
Gujarat,AHMEDABAD EAST,Gitaben Patel,0,INC,Hand,FEMALE,6.0,38.0,GENERAL,10th Pass,,,312883,2621,315504,17.41335242,28.19356176,1811851
Gujarat,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,BJP,Lotus,MALE,0.0,69.0,SC,Post Graduate,,,638241,3381,641622,39.04432316,64.21145018,1643317
Gujarat,AHMEDABAD WEST,RAJU PARMAR,0,INC,Hand,MALE,0.0,68.0,SC,Graduate,,,317797,2279,320076,19.47743497,32.03216867,1643317
Gujarat,AHMEDABAD WEST,TRIBHOVANDAS KARSANDAS VAGHELA,0,BSP,Elephant,MALE,0.0,66.0,SC,8th Pass,,,9909,119,10028,0.610229189,1.003569738,1643317
Rajasthan,AJMER,Bhagirath Chaudhary,1,BJP,Lotus,MALE,0.0,64.0,GENERAL,12th Pass,,,811091,3985,815076,43.4395362,64.52234957,1876346
Rajasthan,AJMER,Riju Jhunjhunwala,0,INC,Hand,MALE,0.0,40.0,GENERAL,Graduate,,,397420,1232,398652,21.24618807,31.55774885,1876346
Rajasthan,AJMER,Durga Lal Regar,0,BSP,Elephant,MALE,0.0,60.0,SC,Post Graduate,,,13547,71,13618,0.725772326,1.078016475,1876346
Rajasthan,AJMER,Vishram Babu,0,APoI,Coat,MALE,0.0,60.0,SC,Post Graduate,,,13036,5,13041,0.695021068,1.032340494,1876346
Uttar Pradesh,AKBARPUR,Devendra Singh 'Bhole',1,BJP,Lotus,MALE,0.0,64.0,GENERAL,10th Pass,,,577603,3679,581282,32.91292046,56.62023333,1766121
Uttar Pradesh,AKBARPUR,Nisha Sachan,0,BSP,Elephant,FEMALE,0.0,46.0,GENERAL,Post Graduate,,,304553,1587,306140,17.33403317,29.81980903,1766121
Uttar Pradesh,AKBARPUR,Rajaram Pal,0,INC,Hand,MALE,1.0,58.0,GENERAL,Graduate Professional,,,107592,749,108341,6.134404155,10.55304086,1766121
Maharashtra,AKOLA,Dhotre Sanjay Shamrao,1,BJP,Lotus,MALE,1.0,60.0,GENERAL,Graduate Professional,,,552898,1546,554444,29.72620712,49.49575293,1865169
Maharashtra,AKOLA,Ambedkar (Adv) Prakash Yashwant,0,VBA,Cup & Saucer,MALE,0.0,64.0,GENERAL,Graduate Professional,,,278241,607,278848,14.95028064,24.89303106,1865169
Maharashtra,AKOLA,Hidayatullah Barakatullah Patel,0,INC,Hand,MALE,1.0,60.0,GENERAL,10th Pass,,,254094,276,254370,13.63790627,22.70785629,1865169
Kerala,ALAPPUZHA,Adv. A M ARIFF,1,CPI(M),"Hammer, Sickle and Star",MALE,2.0,54.0,GENERAL,Graduate Professional,,,443003,2967,445970,32.87164969,40.91047525,1356701
Kerala,ALAPPUZHA,Adv. SHANIMOL OSMAN,0,INC,Hand,FEMALE,0.0,52.0,GENERAL,Post Graduate,,,433790,1706,435496,32.09962991,39.94965655,1356701
Kerala,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,0,BJP,Lotus,MALE,1.0,64.0,GENERAL,Doctorate,,,186278,1451,187729,13.83716825,17.22107453,1356701
Kerala,ALATHUR,RAMYA HARIDAS,1,INC,Hand,FEMALE,3.0,32.0,SC,10th Pass,,,532493,1322,533815,42.13905339,52.36684011,1266794
Kerala,ALATHUR,DR. P.K.BIJU,0,CPI(M),"Hammer, Sickle and Star",MALE,0.0,44.0,SC,Doctorate,,,373696,1151,374847,29.59020962,36.77220182,1266794
Kerala,ALATHUR,T.V.BABU,0,BDJS,Pot,MALE,4.0,61.0,SC,10th Pass,,,89575,262,89837,7.091681836,8.812940466,1266794
Uttar Pradesh,ALIGARH,SATISH KUMAR GAUTAM,1,BJP,Lotus,MALE,0.0,46.0,GENERAL,10th Pass,,,651805,4410,656215,34.77322936,56.37828085,1887127
Uttar Pradesh,ALIGARH,DR. AJEET BALIYAN,0,BSP,Elephant,MALE,0.0,51.0,GENERAL,Doctorate,,,424890,2064,426954,22.62455044,36.68147257,1887127
Uttar Pradesh,ALIGARH,BIJENDRA SINGH CHAUDHARY,0,INC,Hand,MALE,4.0,62.0,GENERAL,Graduate,,,50346,534,50880,2.696161944,4.371321792,1887127
West Bengal,ALIPURDUARS,JOHN BARLA,1,BJP,Lotus,MALE,9.0,43.0,ST,8th Pass,,,747788,3016,750804,45.54790968,54.35976298,1648383
West Bengal,ALIPURDUARS,DASRATH TIRKEY,0,AITC,Flowers and Grass,MALE,0.0,52.0,ST,Graduate,,,505885,930,506815,30.74619187,36.69445458,1648383
West Bengal,ALIPURDUARS,MILI ORAON,0,RSP,Spade & Stoker,FEMALE,0.0,42.0,ST,Post Graduate,,,53859,151,54010,3.276544347,3.910435745,1648383
West Bengal,ALIPURDUARS,MOHANLAL BASUMATA,0,INC,Hand,MALE,0.0,44.0,ST,Graduate Professional,,,27279,148,27427,1.66387302,1.985771545,1648383
Uttar Pradesh,ALLAHABAD,Rita Bahuguna Joshi,1,BJP,Lotus,FEMALE,6.0,69.0,GENERAL,Doctorate,,,493204,1250,494454,28.81164926,55.5845464,1716160
Uttar Pradesh,ALLAHABAD,Rajendra Singh Patel,0,SP,Bicycle,MALE,0.0,63.0,GENERAL,Graduate,,,309328,851,310179,18.07401408,34.86908593,1716160
Uttar Pradesh,ALLAHABAD,Yogesh Shukla,0,INC,Hand,MALE,1.0,49.0,GENERAL,12th Pass,,,31852,101,31953,1.861889334,3.592028805,1716160
